,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,parent_JW,congruent,left,left,1,20,3.2395124662,1
1,parent_JW,congruent,left,left,1,6,1.24640409322,1
2,parent_JW,incongruent,left,right,2,24,6.48732762225,1
3,parent_JW,neutral,right,neutral,3,39,5.98067936298,1
4,parent_JW,neutral,right,neutral,3,31,1.68176802415,1
5,parent_JW,congruent,left,left,1,8,3.41307230839,1
6,parent_JW,congruent,left,left,1,10,3.5867280555,1
7,parent_JW,congruent,right,right,1,5,0.663726416117,1
8,parent_JW,incongruent,left,right,2,26,5.68427338332,1
9,parent_JW,congruent,right,right,1,13,2.60711906156,1
10,parent_JW,congruent,right,right,1,17,6.33989764018,1
11,parent_JW,neutral,right,neutral,3,33,1.94252558559,1
12,parent_JW,congruent,right,right,1,11,0.72079710218,1
13,parent_JW,congruent,left,left,1,22,2.69735550736,1
14,parent_JW,incongruent,left,right,2,28,1.0163834586,1
15,parent_JW,congruent,right,right,1,23,1.43172393576,1
16,parent_JW,congruent,right,right,1,21,0.858182335582,1
17,parent_JW,neutral,right,neutral,3,37,2.10324516044,1
18,parent_JW,congruent,left,left,1,2,2.96660118354,1
19,parent_JW,congruent,right,right,1,7,0.349688891088,1
20,parent_JW,incongruent,right,left,2,25,2.36048465673,1
21,parent_JW,congruent,left,left,1,4,1.58097041476,1
22,parent_JW,incongruent,right,left,2,27,4.90981231243,1
23,parent_JW,congruent,right,right,1,9,5.28952789114,1
24,parent_JW,congruent,left,left,1,14,1.379254798,1
25,parent_JW,neutral,left,neutral,3,36,0.598148420952,1
26,parent_JW,congruent,right,right,1,1,1.15784552254,1
27,parent_JW,incongruent,right,left,2,29,1.08307504654,1
28,parent_JW,congruent,left,left,1,12,4.71762677255,1
29,parent_JW,neutral,left,neutral,3,34,4.43423213578,1
30,parent_JW,neutral,left,neutral,3,32,1.0751883384,1
31,parent_JW,congruent,left,left,1,0,1.90767052835,1
32,parent_JW,congruent,left,left,1,18,7.00167133492,1
33,parent_JW,congruent,right,right,1,19,1.59288097102,1
34,parent_JW,neutral,left,neutral,3,30,1.81912707058,1
35,parent_JW,neutral,left,neutral,3,38,0.6125850086,1
36,parent_JW,neutral,right,neutral,3,35,0.858182335582,1
37,parent_JW,congruent,right,right,1,3,5.98068855117,1
38,parent_JW,congruent,right,right,1,15,2.37746983309,1
39,parent_JW,congruent,left,left,1,16,4.24654646288,1
